"ROW_ID";"TITLE";"ALT TITLE";"RLS DATE";"DURATION (MIN)";"DIRECTORS";"ACTORS";"CATEGORIES";"ORIGIN";"NB_SEASONS";"NB_EPISODES";"DESCRIPTION";"IMAGE";"KEYWORDS"
"14";"Talma et le mythe d’Agartha";"Talma & the Myth of Agharta";"En cours";"26 min";"Dario Duran";"";"19,20";"Espagne";"1";"3";"Chine, 1931- L'archéologue Michael Toussaint est en Chine pour effectuer des fouilles dans les montagnes de Kunlun lorsqu'il disparaît mystérieusement. En réalité, il vient de découvrir le «dragon de jade», la clé d'une des entrées de la cité d'Agartha, un royaume souterrain légendaire, relié à tous les continents par un vaste réseau de galeries et de tunnels. Sa fille Talma, journaliste à New York, part immédiatement à sa recherche, accompagnée de son ami Bob...";"http://static.media.dpstream.net/s/6979/zzaf---talma-et-le-mythe-d’agartha--2014-v1-1477965414.jpg";"Série Talma et le mythe d’Agartha streaming,Talma et le mythe d’Agartha dpstream, Série Talma et le mythe d’Agartha HD, Talma et le mythe d’Agartha streaming VF"
"15";"Dream Corp LLC";"ND";"En cours";"42 min";"Daniel Stessen";"Stephen Merchant, Stephanie Allynne, Ahmed Bharoocha";"23,26,35";"États-Unis";"1";"6";"Dream Corp LLC est une thérapie expérimentale menée par le Dr Roberts, qui permet de vivre ses rêves les plus enfouis dans une réalité virtuelle. Mais très vite, le comportement des patients change au fur et à mesure des semaines...";"http://static.media.dpstream.net/s/6978/watch-dream-corp-llc-29387-1477912575.jpg";"Série Dream Corp LLC streaming,Dream Corp LLC dpstream, Série Dream Corp LLC HD, Dream Corp LLC streaming VF"
"16";"Le Mystère Enfield";"The Enfield Haunting";"En cours";"50 min";"Joshua St. Johnston";"Matthew MacFadyen, Rosie Cavaliero, Timothy Spall";"26,39,95";"Royaume-Uni";"1";"3";"Eté 1977, Peggy Hodgson et ses quatre enfants expérimentent des phénomènes très étranges dans leur nouvelle maison située à Einfield. Elle fait alors appel à Maurice Grosse, chercheur débutant dans le paranormal, pour qu’il mène l’enquête. Il est assisté par Guy Lyon Playfair, investigateur expérimenté qui aborde ce cas avec scepticisme.

NB : Si vous avez aimé The Conjuring 2, découvrez la série Le Mystère Enfield";"http://static.media.dpstream.net/s/6977/enfieldj-1477764017.jpg";"Série Le Mystère Enfield streaming,Le Mystère Enfield dpstream, Série Le Mystère Enfield HD, Le Mystère Enfield streaming VF"
"17";"Good Girls Revolt";"ND";"En cours";"55 min";"Dana Calvo";"Genevieve Angelson, Anna Camp, Erin Darke";"26";"États-Unis";"1";"10";"A la fin des années 1960, la vie d'un hebdomadaire national en pleines revendications pour les droits des femmes";"http://static.media.dpstream.net/s/6976/good-girls-1477732341.jpg";"Série Good Girls Revolt streaming,Good Girls Revolt dpstream, Série Good Girls Revolt HD, Good Girls Revolt streaming VF"
"18";"Pure Genius";"ND";"En cours";"42 min";"Jason Katims";"Dermot Mulroney, Odette Annable, Augustus Prew";"26,100";"États-Unis";"1";"13";"James Bell, génie milliardaire spécialisé dans la technologie, embauche le Dr. Walter Wallade, un chirurgien controversé, pour mettre en place Bunker Hill, un hôpital avant-gardiste sensé révolutionner le monde de la santé.";"http://static.media.dpstream.net/s/6975/066288.jpg-r_640_600-b_1_d6d6d6-f_jpg-q_x-xxyxx-1477656520.jpg";"Série Pure Genius streaming,Pure Genius dpstream, Série Pure Genius HD, Pure Genius streaming VF"
"19";"The Great Indoors";"ND";"En cours";"22 min";"Mike Gibbons";"Joel McHale, Christopher Mintz-Plasse, Susannah Fielding";"23";"États-Unis";"1";"13";"Un journaliste d'aventure doit s'adapter le jour où il devient responsable de jeunes adultes du département numérique dans le magazine pour lequel il travaille.";"http://static.media.dpstream.net/s/6974/489055.jpg-r_640_600-b_1_d6d6d6-f_jpg-q_x-xxyxx-1477656290.jpg";"Série The Great Indoors streaming,The Great Indoors dpstream, Série The Great Indoors HD, The Great Indoors streaming VF"
"20";"Médicis : les Maîtres de Florence";"Medici: Masters Of Florence";"En cours";"60 min";"Frank Spotnitz";"Dustin Hoffman, Richard Madden, Annabel Scholey";"26,30";"Italie, États-Unis";"1";"8";"L’ascension de la famille Médicis, de simples commerçants aux banquiers et hommes politiques puissants qui ont déclenché une révolution économique et culturelle dans la Renaissance italienne au xive et xve siècles.";"http://static.media.dpstream.net/s/6973/medicici-1477651754.jpg";"Série Médicis : les Maîtres de Florence streaming,Médicis : les Maîtres de Florence dpstream, Série Médicis : les Maîtres de Florence HD, Médicis : les Maîtres de Florence streaming VF"
"21";"Une ambition intime";"ND";"En cours";"120 min";"Groupe M6";"Nicolas Sarkozy, François Fillon, Karine Le Marchand, Arnaud Montebourg, Bruno Le Maire, Marine Le Pen, Jean-Luc Mélenchon, Alain Juppé, François Bayrou";"94,98";"France";"1";"2";"Ils sont tous candidats à la Présidence de la République, mais qui sont-ils vraiment ? 
Dans « Une ambition intime », Karine Le Marchand dresse des portraits humains, émouvants, drôles parfois, authentiques toujours, de celles et ceux qui ont pris la décision d'accéder à la plus haute fonction de la République. 
Qui sont ces femmes et ces hommes qui souhaitent nous gouverner ? 
C'est sans fard et avec sincérité qu'ils ont décidé de prendre la parole pour nous dévoiler leur enfance, leur histoire...";"http://static.media.dpstream.net/s/6972/zzaf---une-ambition-intime---2016-v1-1477586800.jpg";"Série Une ambition intime streaming,Une ambition intime dpstream, Série Une ambition intime HD, Une ambition intime streaming VF"
"22";"Travelers";"ND";"En cours";"42 min";"Brad Wright";"Eric McCormack, Jared Abrahamson, Patrick Gilmore";"35";"Canada";"1";"12";"Des centaines d'années dans le futur, les hommes parviennent à renvoyer des connaissances dans le passé, jusque dans l'esprit de personnes au XXIème siècle.";"http://static.media.dpstream.net/s/6971/541327.jpg-r_640_600-b_1_d6d6d6-f_jpg-q_x-xxyxx-1477489164.jpg";"Série Travelers streaming,Travelers dpstream, Série Travelers HD, Travelers streaming VF"
"23";"Man With a Plan";"ND";"En cours";"22 min";"Jeff Filgo,  Jackie Filgo";"Matt LeBlanc, Liza Snyder, Matt Cook (III)";"23";"États-Unis";"1";"9";"Après avoir été mère au foyer pendant 13 ans, Andi décide de retourner dans le monde du travail. C'est donc à son mari, Adam, d'être en charge de la maison, et surtout de leurs trois enfants, qui vont être plus compliqués à gérer qu'il ne le pensait.";"http://static.media.dpstream.net/s/6970/310537.jpg-r_640_600-b_1_d6d6d6-f_jpg-q_x-xxyxx-1477471793.jpg";"Série Man With a Plan streaming,Man With a Plan dpstream, Série Man With a Plan HD, Man With a Plan streaming VF"
