"ROW_ID";"ID";"TITLE";"ALT TITLE";"RLS DATE";"YEAR";"DURATION (MIN)";"DIRECTORS";"ACTORS";"CATEGORIES";"ORIGIN";"DESCRIPTION";"IMAGE";"KEYWORDS"
"38";"23691";"Mara et le démon de feu";"Mara und der Feuerbringer";"06-07-2016";"2016";"94";"Tommy Krappweis";"Jan Josef Liefers, Esther Schweins, Christoph Maria Herbst";"";"Allemagne";"Dernière voyante mystique dotée du pouvoir de voyager dans le temps, Mara a été choisie pour contrer la colère des Dieux qui annonce la fin de notre Monde. Avec l'aide d'un professeur de mythologie ancienne à l'université, elle embarque pour un périlleux voyage au pays des légendes et héros nordiques.";"https://str01-m.dpstream.media/m/23691/140228.jpg-r_1920_1080-f_jpg-q_x-xxyxx-1479124037.jpg";"film Mara et le démon de feu streaming, Mara et le démon de feu dpstream, filmMara et le démon de feu HD, Mara et le démon de feu streaming VF"
"39";"23689";"La Nouvelle vie de Paul Sneijder";"ND";"08-06-2016";"2016";"114";"Thomas Vincent";"Thierry Lhermitte, Géraldine Pailhas, Pierre Curzi, Guillaume Cyr";"";"Canada, France";"Suite à un rarissime accident, Paul Sneijder ouvre les yeux sur la réalité de sa vie de « cadre supérieur » à Montréal : son travail ne l’intéresse plus, sa femme l’agace et le trompe, ses deux fils le méprisent…

Comment continuer à vivre dans ces conditions ? En commençant par changer de métier : promeneur de chiens par exemple ! 

Ses proches accepteront-ils ce changement qui le transformera en homme libre ?";"https://str01-m.dpstream.media/m/23689/215405.jpg-r_1920_1080-f_jpg-q_x-xxyxx-1479123690.jpg";"film  La Nouvelle vie de Paul Sneijder streaming,  La Nouvelle vie de Paul Sneijder dpstream, film La Nouvelle vie de Paul Sneijder HD,  La Nouvelle vie de Paul Sneijder streaming VF"
"40";"23687";"The Curse Of Sleeping Beauty";"ND";"08-04-2016";"2016";"89";"Pearry Reginald Teo";"Natalie Hall, Ethan Peck, India Eisley";"";"États-Unis";"Quand Thomas hérite d’un vieux manoir, il se rend vite compte qu’il a une réputation aussi flatteuse que le Bates Motel…";"https://str01-m.dpstream.media/m/23687/the_curse_of_sleeping_beauty-1479073700.jpg";"film The Curse Of Sleeping Beauty streaming, The Curse Of Sleeping Beauty dpstream, filmThe Curse Of Sleeping Beauty HD, The Curse Of Sleeping Beauty streaming VF"
"41";"23686";"Bridget Jones Baby";"ND";"05-10-2016";"2016";"123";"Sharon Maguire";"Patrick Dempsey, Colin Firth, Renée Zellweger";"";"France, Irlande, Royaume-Uni, États-Unis";"Après avoir rompu avec Mark Darcy, Bridget se retrouve de nouveau célibataire, 40 ans passés, plus concentrée sur sa carrière et ses amis que sur sa vie amoureuse. Pour une fois, tout est sous contrôle ! Jusqu’à ce que Bridget fasse la rencontre de Jack… Puis retrouve Darcy… Puis découvre qu’elle est enceinte… Mais de qui ???";"https://str01-m.dpstream.media/m/23686/bridget_jones's_baby_poster-1479044212.jpg";"film Bridget Jones Baby streaming, Bridget Jones Baby dpstream, filmBridget Jones Baby HD, Bridget Jones Baby streaming VF"
"42";"23685";"Sully";"ND";"30-11-2016";"2016";"96";"Clint Eastwood";"Tom Hanks";"";"États-Unis";"Le 15 janvier 2009, le monde a assisté au 'miracle sur l'Hudson' accompli par le commandant 'Sully' Sullenberger : en effet, celui-ci a réussi à poser son appareil sur les eaux glacées du fleuve Hudson, sauvant ainsi la vie des 155 passagers à bord. Cependant, alors que Sully était salué par l'opinion publique et les médias pour son exploit inédit dans l'histoire de l'aviation, une enquête a été ouverte, menaçant de détruire sa réputation et sa carrière.";"https://str01-m.dpstream.media/m/23685/sully-1479040887.jpg";"film Sully streaming, Sully dpstream, filmSully HD, Sully streaming VF"
"43";"23684";"Inferno (2016)";"ND";"09-11-2016";"2016";"122";"Ron Howard";"Tom Hanks, Ben Foster, Felicity Jones";"";"États-Unis";"Dans 'Inferno', le célèbre expert en symbologie suit la piste d’indices liés au grand Dante lui-même. Robert Langdon se réveille dans un hôpital italien, frappé d’amnésie, et va devoir collaborer avec le docteur Sienna Brooks pour retrouver la mémoire. Tous deux vont sillonner l’Europe dans une course contre la montre pour déjouer un complot à l’échelle mondiale et empêcher le déchaînement de l’Enfer…";"https://str01-m.dpstream.media/m/23684/inferno-1479040761.jpg";"film Inferno (2016) streaming, Inferno (2016) dpstream, filmInferno (2016) HD, Inferno (2016) streaming VF"
"44";"23683";"Abattoir (2016)";"Abattoir";"09-12-2016";"2016";"ND";"Darren Lynn Bousman";"Lin Shaye, Joe Anderson, Jessica Lowndes";"";"États-Unis";"Une journaliste d'investigation s'associe avec un officier de police pour trouver des réponses sur un massacre de toute une famille. Cette famille se trouve être celle de la journaliste en question. Trouvera-t-elle une explication sur les motivations du meurtrier qui, en toute apparence est un homme bon et sans histoire ou reculera-t-elle devant ce mystère où la désolation, la souffrance, le mal, ... règnent en maître absolu ?";"https://str01-m.dpstream.media/m/23683/abattoir-2016_-1478874097.jpg";"film Abattoir (2016) streaming, Abattoir (2016) dpstream, filmAbattoir (2016) HD, Abattoir (2016) streaming VF"
"45";"23682";"The Dog Who Saved 6: Le Chien qui a sauvé l'été";"The Dog Who Saved Summer";"09-06-2015";"2015";"85";"Sean Olson";"Dean Cain, Elisa Donovan, Gary Valentine";"";"États-Unis";"Belinda débute une carrière dans l'événementiel. Lors d'une fête, l'arrivée inopinée de sa rivale Marilyn, accompagnée de son insupportable roquet, entraîne la chute du gâteau, des cadeaux et d'une partie des invités dans le bassin. La faute étant rejetée sur son chien, Zeus, Belinda décide de lui faire suivre un stage de dressage dans une école réputée pour laquelle elle organise aussi la fête de fin d'année...";"http://zupimages.net/up/16/45/b6gi.jpg";"film The Dog Who Saved 6: Le Chien qui a sauvé l'été streaming, The Dog Who Saved 6: Le Chien qui a sauvé l'été dpstream, filmThe Dog Who Saved 6: Le Chien qui a sauvé l'été HD, The Dog Who Saved 6: Le Chien qui a sauvé l'été streaming VF"
"46";"23681";"The Dog Who Saved 5: Le Chien qui a sauvé Pâques";"The Dog Who Saved Easter";"18-03-2014";"2014";"83";"Sean Olson";"Dean Cain, Elisa Donovan, Beverley Mitchell";"";"États-Unis";"Partis en croisière, les Bannister placent leur chien Zeus dans le chenil tenu par l'adorable Alice, qui a transformé la maison de sa grand-mère en paradis canin. Grâce aux recommandations de Will, sympathique vétérinaire qui a craqué pour elle, le chenil est plein ; un succès qui irrite l'horrible Cressida, dont le chenil-prison concurrent est déserté. Cette dernière engage alors trois repris de justice pour couler le chenil d'Alice";"http://zupimages.net/up/16/45/bfy9.jpg";"film The Dog Who Saved 5: Le Chien qui a sauvé Pâques streaming, The Dog Who Saved 5: Le Chien qui a sauvé Pâques dpstream, filmThe Dog Who Saved 5: Le Chien qui a sauvé Pâques HD, The Dog Who Saved 5: Le Chien qui a sauvé Pâques streaming VF"
"47";"23680";"The Dog Who Saved 4: Le Chien qui a sauvé Noël";"The Dog Who Saved the Holidays";"04-12-2012";"2012";"83";"Michael Feifer";"Joey Lawrence, Peyton List, Gary Valentine";"";"États-Unis";"Zeus, ancien chien policier, débarque avec la famille Bannister - George, sa femme enceinte Belinda et ses deux enfants Ben et Kara - en Californie pour passer les fêtes de Noël dans la demeure de Barbara, la soeur de George. Cette dernière offre aux enfants pour Noël un jeune bébé labrador, surnommé Eve, qui donnera bien des tracas à Zeus. De même que deux escrocs anciens cambrioleurs, chargés par leur patron de dérober un objet de grande valeur : l'étoile surplombant le sapin de Noël...";"http://zupimages.net/up/16/45/ffis.jpg";"film The Dog Who Saved 4: Le Chien qui a sauvé Noël streaming, The Dog Who Saved 4: Le Chien qui a sauvé Noël dpstream, filmThe Dog Who Saved 4: Le Chien qui a sauvé Noël HD, The Dog Who Saved 4: Le Chien qui a sauvé Noël streaming VF"
"48";"23679";"Père malgré lui";"Whose Baby";"25-10-2004";"2004";"90";"Rebecca Frayn";"Andrew Lincoln, Sophie Okonedo, Esther Coles";"";"Royaume-Uni";"Karen veut un enfant, contrairement à son petit ami Barry. Lorsqu'elle tombe enceinte, Karen ne lui dit rien et rompt avec lui. Neuf mois plus tard, le bébé voit le jour et le besoin d'argent avec. Karen fait alors appel au planning familial qui se tourne vers Barry pour la pension alimentaire...";"http://zupimages.net/up/16/45/n93q.jpg";"film Père malgré lui streaming, Père malgré lui dpstream, filmPère malgré lui HD, Père malgré lui streaming VF"
"49";"23678";"Les coeurs patients";"The Wedding Chapel";"03-04-2013";"2013";"90";"Vanessa Parise";"Emmanuelle Vaugier, Shelley Long, Mark Deklin";"";"Canada";"Sarah, une artiste peintre en mal de succès, se rend dans son village natal avec sa mère Jeanie pour sauver la maison familiale de la démolition. À sa place, la mairie souhaite construire un centre commercial et Sara découvre que la vieille chapelle du village est également condamnée. Elle décide alors de se battre en s'adressant à un conseiller municipal, Roger Waters, qui, tombé sous son charme, va tout faire pour l'aider...";"http://zupimages.net/up/16/45/gapo.jpg";"film Les coeurs patients streaming, Les coeurs patients dpstream, filmLes coeurs patients HD, Les coeurs patients streaming VF"
