"ROW_ID";"ID";"TITLE";"ALT TITLE";"RLS DATE";"YEAR";"DURATION (MIN)";"DIRECTORS";"ACTORS";"CATEGORIES";"ORIGIN";"DESCRIPTION";"IMAGE";"KEYWORDS"
"22";"23708";"The Beatles: Eight Days a Week";"ND";"15-09-2016";"2016";"95";"Ron Howard";"George Harrison, John Lennon, Paul McCartney, Ringo Starr";"";"Royaume-Uni, États-Unis";"Jeudi 15 septembre à 20h, à l’occasion d’une séance unique au cinéma diffusé dans le monde entier, les spectateurs pourront se replonger dans les années 60 aux côtés du groupe légendaire à travers une expérience cinématographique inédite en exclusivité dans plus de 100 salles partout en France.
Avec des images rares et exclusives, The Beatles : Eight Days A Week - The Touring Years retrace les premières années de la carrière des Beatles de 1962 à 1966, marquées par les tournées incessantes à travers le monde. Des centaines de dates, des milliers de fans, des heures de concerts ont permis aux Beatles d’entrer dans la légende, mais aussi d’apprendre à se connaître, à se chercher, à se renouveler et à écrire ensemble toujours plus de chansons mythiques. Du Cavern Club de Liverpool à leur dernier concert au Candlestick Park de San Francisco, découvrez les Beatles comme vous ne les avez jamais vus et jamais entendus, à travers des enregistrements live et archives inédites.Et spécialement pour cette soirée au cinéma, les spectateurs pourront vivre sur grand écran plus de 30 minutes inédites du concert du SHEA STADIUM de 1965 pour la première fois remasterisées !
Vous connaissez le groupe, pas leur histoire.";"https://str01-m.dpstream.media/m/23708/beatles-1479642286.jpg";"film The Beatles: Eight Days a Week streaming, The Beatles: Eight Days a Week dpstream, filmThe Beatles: Eight Days a Week HD, The Beatles: Eight Days a Week streaming VF"
"23";"23706";"Alliances Rouge Sang";"ND";"09-09-2016";"2016";"88";"Marc Angelo";"Macha Méril, Anthony Delon, Barbara Cabrita";"";"France";"Anna, jeune mère monoparentale de modeste extraction, épouse Guillaume, le beau et brillant chirurgien qui pourrait sauver la vie de son fils. Elle est la femme la plus amoureuse et la plus heureuse du monde... quand bien même la mère de Guillaume, lui fait bien sentir qu'elle n'est pas tout à fait la bienvenue dans cette illustre famille bourgeoise marseillaise.
Alors que la nuit de noce vient juste de s'achever, la police découvre le cadavre de Roxane, l'ex-femme de Guillaume. Très vite tout accuse Guillaume ! Qu'à cela ne tienne, Anna sait, au plus profond d'elle-même, que l'homme qu'elle aime ne peut être un assassin. Seule contre tous, elle se met en devoir de le prouver, contre vents et marées.
Mais plus Guillaume semble trouble… plus les dissimulations et les mensonges s’accumulent. Il se fait de plus en plus menaçant à l’encontre de sa nouvelle femme à mesure qu’elle avance dans son enquête, serait-il finalement possible qu’il soit le meurtrier de son ex-femme, pourrait-il s’en prendre à Anna, à son fils ?";"http://zupimages.net/up/16/46/bf6f.jpg";"film Alliances Rouge Sang streaming, Alliances Rouge Sang dpstream, filmAlliances Rouge Sang HD, Alliances Rouge Sang streaming VF"
"24";"23705";"The Funhouse Massacre";"ND";"01-01-2015";"2015";"90";"Andy Palmer";"Jere Burns, Robert Englund, Scottie Thompson";"";"États-Unis";"Des serial killers en fuite arrivent dans une baraque forraine pendant Halloween et commencent à faire un carnage. Un groupe d'enfants, un shérif et son adjoint vont tenter de les arrêter.";"https://str01-m.dpstream.media/m/23705/thefunhouse-1479344132.jpg";"film The Funhouse Massacre streaming, The Funhouse Massacre dpstream, filmThe Funhouse Massacre HD, The Funhouse Massacre streaming VF"
"25";"23704";"Beasts Of No Nation";"ND";"16-10-2015";"2015";"136";"Cary Fukunaga";"Idris Elba, Abraham Attah, Kurt Egyiawan";"";"États-Unis";"Alors qu'il n'est encore qu'un jeune garçon, Agu devient un enfant soldat, embrigadé de force dans l'armée du sanguinaire 'Commandant'.";"https://str01-m.dpstream.media/m/23704/219222.jpg-r_1920_1080-f_jpg-q_x-xxyxx-1479295138.jpg";"film Beasts Of No Nation streaming, Beasts Of No Nation dpstream, filmBeasts Of No Nation HD, Beasts Of No Nation streaming VF"
"26";"23703";"Vertiges";"The Loft";"ND";"ND";"113";"Erik van Looy";"Wentworth Miller, Karl Urban, James Marsden";"";"États-Unis";"Cinq hommes partagent les clés d’un loft dans le centre ville. Dans ce lieu tenu secret, ils peuvent assouvir leurs fantasmes en toute discrétion. Mais le rêve tourne au cauchemar lorsqu’ils y découvrent le corps sans vie d’une femme menottée au lit...";"https://str01-m.dpstream.media/m/23703/vertiges-1479252356.jpg";"film Vertiges streaming, Vertiges dpstream, filmVertiges HD, Vertiges streaming VF"
"27";"23702";"Henry, portrait d'un serial killer";"Henry: Portrait of a Serial Killer";"01-01-1986";"1986";"83";"John McNaughton";"Michael Rooker, Tom Towles, Tracy Arnold";"";"États-Unis";"Henry, portrait d'un serial killer est un film basé sur la vie et les 'exploits' macabres de l'un des tueurs en série les plus monstrueux de toute l'histoire des Etats Unis : Henry Lee Lucas. Comme tous les serial killers, il possède un double visage, celui d'un homme ordinaire sans histoire, et un autre qui l'entraine dans une folie meutrière sans précédent en compagnie de son ami et 'collègue' Otis Toole.";"https://str01-m.dpstream.media/m/23702/henrysk-1479250211.jpg";"film Henry, portrait d'un serial killer streaming, Henry, portrait d'un serial killer dpstream, filmHenry, portrait d'un serial killer HD, Henry, portrait d'un serial killer streaming VF"
"28";"23701";"L'exorcisme de Molly Hartley";"The Exorcism of Molly Hartley";"13-04-2015";"2015";"96";"Steven R. Monroe";"Gina Holden, Sarah Lind, Devon Sawa";"";"États-Unis";"Molly, une jeune adolescente de 17 ans, doit faire face aux problèmes psychotiques de sa mère. Le jour où sa vie est en danger, elle décide de déménager pour recommencer une nouvelle vie: nouveau lycée, nouveaux amis: Leah Alexis et nouvelles amours: Joseph Young...Mais tout bascule le jour où elle devient soudainement hantée par des visions et des voix qui lui révèlent un sombre aspect de son passé.

Info : Suite du film La malédiction de Molly Hartley
http://www.dpstream.net/film-542106-la-malediction-de-molly-hartley-en-streaming.html

CSA : INTERDIT AUX MOINS DE 12 ANS";"https://str01-m.dpstream.media/m/23701/erf6lxd-1479220511.jpg";"film L'exorcisme de Molly Hartley streaming, L'exorcisme de Molly Hartley dpstream, filmL'exorcisme de Molly Hartley HD, L'exorcisme de Molly Hartley streaming VF"
"29";"23700";"Who Gets the Dog?";"ND";"13-09-2016";"2016";"96";"Huck Botko";"Ryan Kwanten, Randall Batinkoff, Alicia Silverstone";"";"États-Unis";"Anciens amoureux, Olive Greene et Clay Lonergan sont sur le point de se séparer. Or, les choses s’enveniment lorsque tous deux s’obstinent pour obtenir la garde de Westley, le labrador chéri du couple.";"https://str01-m.dpstream.media/m/23700/who-gets-the-dog-poster-1479220242.jpg";"film Who Gets the Dog? streaming, Who Gets the Dog? dpstream, filmWho Gets the Dog? HD, Who Gets the Dog? streaming VF"
"30";"23699";"Les Démons";"ND";"14-09-2015";"2015";"118";"Philippe Lesage";"Édouard Tremblay-Grenier, Pier-Luc Funk, Yannick Gobeil-Dugas";"";"Canada";"Félix, dix ans, enfant imaginatif et sensible, termine son année scolaire dans une banlieue d’apparence paisible. Félix a peur de tout : du possible divorce de ses parents, des maniaques qui s’en prennent aux petits garçons, des voisins louches, et même du sida. Peu à peu, les démons imaginaires de l’enfant côtoient les démons d’un monde réellement inquiétant.";"https://str01-m.dpstream.media/m/23699/080879.jpg-r_1920_1080-f_jpg-q_x-xxyxx-1479220101.jpg";"film Les Démons streaming, Les Démons dpstream, filmLes Démons HD, Les Démons streaming VF"
"31";"23698";"Paulina";"La Patota";"13-04-2016";"2016";"103";"Santiago Mitre";"Dolores Fonzi, Oscar Martinez, Esteban Lamothe";"";"Argentine";"Paulina, 28 ans, décide de renoncer à une brillante carrière d'avocate pour se consacrer à l'enseignement dans une région défavorisée d'Argentine. Confrontée à un environnement hostile, elle s'accroche pourtant à sa mission pédagogique, seule garante à ses yeux d'un réel engagement politique; quitte à y sacrifier son petit ami et la confiance de son père, un juge puissant de la région. Peu de temps après son arrivée, elle est violemment agressée par une bande de jeunes et découvre que certains d'entre eux sont ses élèves. En dépit de l'ampleur du traumatisme et de l'incompréhension de son entourage, Paulina va tâcher de rester fidèle à son idéal social.

CSA : INTERDIT AUX MOINS DE 12 ANS";"https://str01-m.dpstream.media/m/23698/281725.jpg-r_1920_1080-f_jpg-q_x-xxyxx-1479219332.jpg";"film Paulina  streaming, Paulina  dpstream, filmPaulina  HD, Paulina  streaming VF"
"32";"23697";"Kubo et l'armure magique";"Kubo And The Two Strings";"21-09-2016";"2016";"720";"Travis Knight";"Ralph Fiennes, Charlize Theron, Art Parkinson";"";"États-Unis";"Kubo est un être aussi intelligent que généreux, qui gagne chichement sa vie en sa qualité de conteur, dans un village de bord de mer. Cette petite vie tranquille, ainsi que celle de ses compagnons Hosato, Hashi et Kamekichi va être bouleversée quand par erreur il invoque un démon du passé. Surgissant des nues cet esprit malfaisant va abattre son courroux sur le village afin d’appliquer une vindicte ancestrale.
Dans sa fuite, Kubo fait équipe avec Monkey et Beetle, pour se lancer dans une épopée palpitante afin de sauver sa famille et percer le secret de la chute de son père, le plus grand samouraï que le monde ait jamais connu. À l’aide de son Shamisen- un instrument musical magique-il va affronter toutes sortes de dieux et de monstres, notamment le terrible Moon King assoiffé de vengeance ainsi que les affreuses sœurs jumelles afin de dénouer le mystère de son héritage, réunir sa famille et accomplir sa destinée héroïque.

INFO : A partir de 10 ans";"https://str01-m.dpstream.media/m/23697/451334.jpg-r_1920_1080-f_jpg-q_x-xxyxx-1479219143.jpg";"film Kubo et l'armure magique streaming, Kubo et l'armure magique dpstream, filmKubo et l'armure magique HD, Kubo et l'armure magique streaming VF"
"33";"23696";"Croque-monsieur (2016)";"ND";"12-11-2016";"2016";"121";"Thierry Klifa";"Michaël Cohen, Fanny Ardant, Bernard Menez, Vittoria Scognamiglio, Julia Faure, Sébastien Houbani, Pierre Rochefort, Jean-Baptiste Lafarge";"";"France";"Coco Baisos, bourgeoise insouciante, n'avait pas prévu que son cinquième mari, un riche Péruvien, se suiciderait sans prévenir. Et encore moins qu'il le ferait pour ne pas affronter une ruine inévitable. Quel monstre d'égoïsme ! Avec ses deux grands enfants, son secrétaire et son serviteur, la voici donc à devoir trouver en urgence une solution pour garder le même train de vie : autrement dit, un nouvel époux. Celui qui répond le mieux à ses critères matériels est un financier, vieux garçon coincé et peu sexy. Qu'importe, son compte en banque bien fourni lui donne miraculeusement un irrésistible sex-appeal ! Ne reste plus à la jolie veuve qu'à l'attraper dans ses filets. 

Diffusé en Direct du Théâtre de la Michodière le samedi 12 novembre 2016";"https://str01-m.dpstream.media/m/23696/zzaf---croque-monsieur---2016-v1-1479133623.jpg";"film Croque-monsieur (2016) streaming, Croque-monsieur (2016) dpstream, filmCroque-monsieur (2016) HD, Croque-monsieur (2016) streaming VF"
"34";"23695";"Born to Dance";"Body Language";"08-01-2013";"2013";"106";"Jeffrey Elmont";"Floris Bosveld, Ingrid Jansen, Lorenzo van Velzen Bottazzi";"";"Pays-Bas";"Chaque année à New York, le Battle of Broadway oppose les meilleures équipes de danse du monde entier. Nina, Bobby, Tara, Quincy et Samuel, cinq jeunes danseurs européens rêvent d’y participer. Seul problème : ils ne se connaissent pas et ont chacun des styles de danse différents. Pour devenir un vrai crew et être prêt à temps pour la grande compétition, ils devront surmonter leurs différences et apprendre à travailler ensemble. Mais, entre les disputes lors des répétitions et les galères personnelles de nos héros, difficile de préparer cette compétition dont l’issue pourra changer leur destin à tout jamais…";"https://str01-m.dpstream.media/m/23695/20369968.jpg-r_1920_1080-f_jpg-q_x-xxyxx-1479127030.jpg";"film Born to Dance streaming, Born to Dance dpstream, filmBorn to Dance HD, Born to Dance streaming VF"
"35";"23694";"Racing Extinction";"ND";"18-09-2015";"2015";"90";"Louie Psihoyos";"";"";"Chine, Hong-Kong, Indonésie, Mexique, Royaume-Uni, États-Unis";"Le réalisateur oscarisé Louie Psihoyos (The Cove - La baie de la honte) réunit une équipe d’artistes et d’activistes pour faire découvrir le monde méconnu des espèces en voie de disparition. Une course contre la montre a déjà commencé pour les sauver. L’équipe parcourt le globe pour infiltrer les marchés noirs et utilise une technologie de pointe pour illustrer le lien entre émissions de carbone et disparition des espèces. Racing Extinction révèle des images inédites qui changeront à jamais votre façon de voir le monde.";"https://str01-m.dpstream.media/m/23694/018318.jpg-r_1920_1080-f_jpg-q_x-xxyxx-1479125453.jpg";"film Racing Extinction streaming, Racing Extinction dpstream, filmRacing Extinction HD, Racing Extinction streaming VF"
"36";"23693";"Danse ta vie 2";"Center Stage: Turn It Up";"11-01-2008";"2008";"95";"Steven Jacobson";"Kenny Wormald, Rachele Brooke, Sarah Jayne Jensen";"";"Canada, États-Unis";"Kate Parker est une jeune danseuse qui cherche à passer le concours d'admission d'une troupe de danse. Recalée, elle trouve un travail dans une boite de nuit grâce à Tommy, présent lui aussi à l'audition. Elle aide Tommy à progresser, petit à petit tous les deux se rapprochent et tombent amoureux. Un malentendu vient les séparer. Résolue a renter chez elle, Kate se laisse convaincre de passer une audition pour une réinterprétation de Cendrillon.";"https://str01-m.dpstream.media/m/23693/600x800_217653-1479125296.jpg";"film Danse ta vie 2 streaming, Danse ta vie 2 dpstream, filmDanse ta vie 2 HD, Danse ta vie 2 streaming VF"
"37";"23692";"Pokémon 19 - Volcanion et la merveille mécanique";"Volcanion and the Mechanical Marvel";"16-07-2016";"2016";"90";"Kunihiko Yuyama";"";"";"Japon";"Alors que Sacha et ses amis continuent leur voyage, ils rencontrent Volcanion qui tombe du ciel. Volcanion veut retrouver Magearna, qui a été enlevé par le Royaume Azoth, une cité mécanisée. En même temps, Sacha et Volcanion se retrouvent étrangement liés.";"https://str01-m.dpstream.media/m/23692/eef0fc97e695331d08feb4726799c035-1479124754.jpg";"film Pokémon 19 - Volcanion et la merveille mécanique streaming, Pokémon 19 - Volcanion et la merveille mécanique dpstream, filmPokémon 19 - Volcanion et la merveille mécanique HD, Pokémon 19 - Volcanion et la merveille mécanique streaming VF"
