"ROW_ID";"TITLE";"ALT TITLE";"RLS DATE";"YEAR";"DURATION (MIN)";"DIRECTORS";"ACTORS";"CATEGORIES";"ORIGIN";"DESCRIPTION";"IMAGE";"KEYWORDS"
"1";"Abattoir (2016)";"Abattoir";"2016-12-09";"2016";"ND";"Darren Lynn Bousman";"Lin Shaye, Joe Anderson, Jessica Lowndes";"Epouvante-horreur,Thriller";"États-Unis";"Une journaliste d'investigation s'associe avec un officier de police pour trouver des réponses sur un massacre de toute une famille. Cette famille se trouve être celle de la journaliste en question. Trouvera-t-elle une explication sur les motivations du meurtrier qui, en toute apparence est un homme bon et sans histoire ou reculera-t-elle devant ce mystère où la désolation, la souffrance, le mal, ... règnent en maître absolu ?";"http://static.media.dpstream.net/m/23683/abattoir-2016_-1478874097.jpg";"film Abattoir (2016) streaming, Abattoir (2016) dpstream, filmAbattoir (2016) HD, Abattoir (2016) streaming VF"
"2";"The Dog Who Saved 6: Le Chien qui a sauvé l'été";"The Dog Who Saved Summer";"2015-06-09";"2015";"85";"Sean Olson";"Dean Cain, Elisa Donovan, Gary Valentine";"Comédie,Famille";"États-Unis";"Belinda débute une carrière dans l'événementiel. Lors d'une fête, l'arrivée inopinée de sa rivale Marilyn, accompagnée de son insupportable roquet, entraîne la chute du gâteau, des cadeaux et d'une partie des invités dans le bassin. La faute étant rejetée sur son chien, Zeus, Belinda décide de lui faire suivre un stage de dressage dans une école réputée pour laquelle elle organise aussi la fête de fin d'année...";"http://zupimages.net/up/16/45/b6gi.jpg";"film The Dog Who Saved 6: Le Chien qui a sauvé l'été streaming, The Dog Who Saved 6: Le Chien qui a sauvé l'été dpstream, filmThe Dog Who Saved 6: Le Chien qui a sauvé l'été HD, The Dog Who Saved 6: Le Chien qui a sauvé l'été streaming VF"
"3";"The Dog Who Saved 5: Le Chien qui a sauvé Pâques";"The Dog Who Saved Easter";"2014-03-18";"2014";"83";"Sean Olson";"Dean Cain, Elisa Donovan, Beverley Mitchell";"Comédie,Famille";"États-Unis";"Partis en croisière, les Bannister placent leur chien Zeus dans le chenil tenu par l'adorable Alice, qui a transformé la maison de sa grand-mère en paradis canin. Grâce aux recommandations de Will, sympathique vétérinaire qui a craqué pour elle, le chenil est plein ; un succès qui irrite l'horrible Cressida, dont le chenil-prison concurrent est déserté. Cette dernière engage alors trois repris de justice pour couler le chenil d'Alice";"http://zupimages.net/up/16/45/bfy9.jpg";"film The Dog Who Saved 5: Le Chien qui a sauvé Pâques streaming, The Dog Who Saved 5: Le Chien qui a sauvé Pâques dpstream, filmThe Dog Who Saved 5: Le Chien qui a sauvé Pâques HD, The Dog Who Saved 5: Le Chien qui a sauvé Pâques streaming VF"
"4";"The Dog Who Saved 4: Le Chien qui a sauvé Noël";"The Dog Who Saved the Holidays";"2012-12-04";"2012";"83";"Michael Feifer";"Joey Lawrence, Peyton List, Gary Valentine";"Comédie,Famille";"États-Unis";"Zeus, ancien chien policier, débarque avec la famille Bannister - George, sa femme enceinte Belinda et ses deux enfants Ben et Kara - en Californie pour passer les fêtes de Noël dans la demeure de Barbara, la soeur de George. Cette dernière offre aux enfants pour Noël un jeune bébé labrador, surnommé Eve, qui donnera bien des tracas à Zeus. De même que deux escrocs anciens cambrioleurs, chargés par leur patron de dérober un objet de grande valeur : l'étoile surplombant le sapin de Noël...";"http://zupimages.net/up/16/45/ffis.jpg";"film The Dog Who Saved 4: Le Chien qui a sauvé Noël streaming, The Dog Who Saved 4: Le Chien qui a sauvé Noël dpstream, filmThe Dog Who Saved 4: Le Chien qui a sauvé Noël HD, The Dog Who Saved 4: Le Chien qui a sauvé Noël streaming VF"
"5";"Père malgré lui";"Whose Baby";"2004-10-25";"2004";"90";"Rebecca Frayn";"Andrew Lincoln, Sophie Okonedo, Esther Coles";"Drame";"Royaume-Uni";"Karen veut un enfant, contrairement à son petit ami Barry. Lorsqu'elle tombe enceinte, Karen ne lui dit rien et rompt avec lui. Neuf mois plus tard, le bébé voit le jour et le besoin d'argent avec. Karen fait alors appel au planning familial qui se tourne vers Barry pour la pension alimentaire...";"http://zupimages.net/up/16/45/n93q.jpg";"film Père malgré lui streaming, Père malgré lui dpstream, filmPère malgré lui HD, Père malgré lui streaming VF"
"6";"Les coeurs patients";"The Wedding Chapel";"2013-04-03";"2013";"90";"Vanessa Parise";"Emmanuelle Vaugier, Shelley Long, Mark Deklin";"Comédie,Famille";"Canada";"Sarah, une artiste peintre en mal de succès, se rend dans son village natal avec sa mère Jeanie pour sauver la maison familiale de la démolition. À sa place, la mairie souhaite construire un centre commercial et Sara découvre que la vieille chapelle du village est également condamnée. Elle décide alors de se battre en s'adressant à un conseiller municipal, Roger Waters, qui, tombé sous son charme, va tout faire pour l'aider...";"http://zupimages.net/up/16/45/gapo.jpg";"film Les coeurs patients streaming, Les coeurs patients dpstream, filmLes coeurs patients HD, Les coeurs patients streaming VF"
"7";"Un papa tombé du ciel";"Ein Vater für Klette";"2003-12-25";"2003";"90";"Peter Kahane";"Muriel Baumeister, Heio von Stetten, Vespa Vasic";"Comédie,Romance,Famille";"Allemagne";"Noël approche et Linda, orpheline de 9 ans, sait parfaitement ce qu'elle veut : un papa, une maman et puis un petit frère ou une petite soeur. Linda se doute bien qu'aucun père Noël au monde ne lui apportera ce genre de cadeau. Si elle veut un papa, c'est à elle de s'en occuper ! Au marché de Noël, elle repère Oliver et jette immédiatement son dévolu sur lui. L'heureux élu a dans les 35 ans, est passionné de montgolfières et se plaît particulièrement en compagnie des femmes. Linda s'immisce dans la vie d'Oliver et devient très collante ; ce qui irrite le don juan...";"http://zupimages.net/up/16/45/gtl6.jpg";"film Un papa tombé du ciel streaming, Un papa tombé du ciel dpstream, filmUn papa tombé du ciel HD, Un papa tombé du ciel streaming VF"
"8";"La maison des souvenirs (Legally Tender)";"The Thanksgiving House";"2013-09-02";"2013";"80";"Kevin Connor";"Emily Rose, Justin Bruening, Julia Jones";"Comédie,Romance";"États-Unis";"A Plymouth, Everett, un jeune archéologue, découvre la maison où a eu lieu le premier Thanksgiving de l'histoire. La demeure appartient à une vieille dame qui vient de décéder. C'est sa nièce Mary Ross, avocate à Boston, qui hérite du lieu. Le jeune femme demande à Everett de ne pas révéler ses récentes découvertes afin qu'elle puisse garder la tranquilité. Mais une autre personne est au courant...

Autre titre : Legally Tender (DVD)";"http://zupimages.net/up/16/45/pkzz.jpg";"film La maison des souvenirs (Legally Tender) streaming, La maison des souvenirs (Legally Tender) dpstream, filmLa maison des souvenirs (Legally Tender) HD, La maison des souvenirs (Legally Tender) streaming VF"
"9";"L'expérience de Noël";"3 Day Test";"2012-11-06";"2012";"81";"Corbin Bernsen";"George Newbern, Taylor Spreitler, Megyn Price";"Comédie,Famille";"États-Unis";"Trop occupé à droite, gauche, Martin réalise un jour qu'il ne connaît pas si bien que ça les membres de sa famille. Ainsi, il décide d'enfermer avec lui sa femme et leurs trois enfants dans la maison, de couper tout contact avec le monde extérieur, ainsi que d'arrêter d'utiliser les différentes technologies.";"http://zupimages.net/up/16/45/z7xx.jpg";"film L'expérience de Noël streaming, L'expérience de Noël dpstream, filmL'expérience de Noël HD, L'expérience de Noël streaming VF"
"10";"Les Aventures de Billy Stone: le médaillon sacré";"The Lost Medallion: The Adventures of Billy Stone";"2013-03-01";"2013";"107";"Bill Muir";"Billy Unger, Sammi Hanratty, John Marengo";"Aventure,Fantastique,Famille";"Thaïlande";"Un jour, Billy Stone, fils d'archéologue, découvre un médaillon caché dans la terre. Il s'aperçoit que ce dernier a le pouvoir de faire voyager dans le temps celui qui s'en empare. Transporté dans le passé, Billy et son amie Allie, doivent déjouer les plans d'une tribu indigène qui veut entrer en possession de l'objet mystique.";"http://zupimages.net/up/16/45/scyh.jpg";"film Les Aventures de Billy Stone: le médaillon sacré streaming, Les Aventures de Billy Stone: le médaillon sacré dpstream, filmLes Aventures de Billy Stone: le médaillon sacré HD, Les Aventures de Billy Stone: le médaillon sacré streaming VF"
"11";"L'Affaire Cate McCall (Mensonges et faux semblants)";"The Trials of Cate McCall";"2013-11-28";"2013";"89";"Karen Moncrieff";"Nick Nolte, Kate Beckinsale, James Cromwell";"Drame,Policier";"États-Unis";"Guérie de son alcoolisme, l’avocate Cate McCall souhaite être réintégrée au barreau, Elle accepte de défendre une femme condamnée pour meurtre, qui ne cesse de clamer son innocence. Elle découvre alors un vaste réseau de corruption qui touche tous les échelons de la police, Mais que vaut sa parole contre celle des autorités ? Que vaut sa vie contre la carrière de flics haut placés ?

Plusieurs titres francophones
- Mensonges et faux semblants (TV)
- L'Affaire McCall  (France)
- L'Affaire Cate McCall  (DVD France)";"http://zupimages.net/up/16/45/m7qy.jpg";"film L'Affaire Cate McCall (Mensonges et faux semblants) streaming, L'Affaire Cate McCall (Mensonges et faux semblants) dpstream, filmL'Affaire Cate McCall (Mensonges et faux semblants) HD, L'Affaire Cate McCall (Mensonges et faux semblants) streaming VF"
