ROW_ID;SERIE_ID;SERIE_TITLE;SERIE_ROW_ID;SEASON_NAME;SEASON_ROW_ID;NAME
89;6983;Stan Against Evil;22;Saison 1;24;S1 E2
90;6983;Stan Against Evil;22;Saison 1;24;S1 E3
91;6983;Stan Against Evil;22;Saison 1;24;S1 E4
92;6983;Stan Against Evil;22;Saison 1;24;S1 E5
93;6983;Stan Against Evil;22;Saison 1;24;S1 E6
94;6982;The Moonstone;23;Saison 1;25;S1 E1
95;6982;The Moonstone;23;Saison 1;25;S1 E2
96;6982;The Moonstone;23;Saison 1;25;S1 E3
97;6982;The Moonstone;23;Saison 1;25;S1 E4
98;6982;The Moonstone;23;Saison 1;25;S1 E5
99;6981;People of Earth;24;Saison 1;26;S1 E1
100;6981;People of Earth;24;Saison 1;26;S1 E2
101;6981;People of Earth;24;Saison 1;26;S1 E3
102;6981;People of Earth;24;Saison 1;26;S1 E4
103;6981;People of Earth;24;Saison 1;26;S1 E5
104;6980;Dark Angel (2016);25;Saison 1;27;S1 E1
105;6980;Dark Angel (2016);25;Saison 1;27;S1 E2
106;6979;Talma et le mythe d’Agartha;26;Saison 1;28;S1 E1
107;6979;Talma et le mythe d’Agartha;26;Saison 1;28;S1 E2
108;6979;Talma et le mythe d’Agartha;26;Saison 1;28;S1 E3
109;6978;Dream Corp LLC;27;Saison 1;29;S1 E1
110;6978;Dream Corp LLC;27;Saison 1;29;S1 E2
111;6978;Dream Corp LLC;27;Saison 1;29;S1 E3
112;6977;Le Mystère Enfield;28;Saison 1;30;S1 E1
113;6977;Le Mystère Enfield;28;Saison 1;30;S1 E2
114;6977;Le Mystère Enfield;28;Saison 1;30;S1 E3
115;6976;Good Girls Revolt;29;Saison 1;31;S1 E1
116;6976;Good Girls Revolt;29;Saison 1;31;S1 E2
117;6976;Good Girls Revolt;29;Saison 1;31;S1 E3
118;6976;Good Girls Revolt;29;Saison 1;31;S1 E4
119;6975;Pure Genius;30;Saison 1;32;S1 E1
120;6975;Pure Genius;30;Saison 1;32;S1 E2
121;6975;Pure Genius;30;Saison 1;32;S1 E3
122;6975;Pure Genius;30;Saison 1;32;S1 E4
123;6974;The Great Indoors;31;Saison 1;33;S1 E1
124;6974;The Great Indoors;31;Saison 1;33;S1 E2
125;6974;The Great Indoors;31;Saison 1;33;S1 E3
126;6974;The Great Indoors;31;Saison 1;33;S1 E4
127;6973;Médicis : les Maîtres de Florence;32;Saison 1;34;S1 E0
128;6973;Médicis : les Maîtres de Florence;32;Saison 1;34;S1 E1
129;6973;Médicis : les Maîtres de Florence;32;Saison 1;34;S1 E2
130;6973;Médicis : les Maîtres de Florence;32;Saison 1;34;S1 E3
131;6973;Médicis : les Maîtres de Florence;32;Saison 1;34;S1 E4
132;6973;Médicis : les Maîtres de Florence;32;Saison 1;34;S1 E5
133;6973;Médicis : les Maîtres de Florence;32;Saison 1;34;S1 E6
134;6973;Médicis : les Maîtres de Florence;32;Saison 1;34;S1 E7
135;6973;Médicis : les Maîtres de Florence;32;Saison 1;34;S1 E8
136;6972;Une ambition intime;33;Saison 1;35;S1 E1
137;6972;Une ambition intime;33;Saison 1;35;S1 E2
138;6971;Travelers;34;Saison 1;36;S1 E1
139;6971;Travelers;34;Saison 1;36;S1 E2
140;6971;Travelers;34;Saison 1;36;S1 E3
141;6971;Travelers;34;Saison 1;36;S1 E4
142;6971;Travelers;34;Saison 1;36;S1 E5
143;6971;Travelers;34;Saison 1;36;S1 E6
144;6970;Man With a Plan;35;Saison 1;37;S1 E1
145;6970;Man With a Plan;35;Saison 1;37;S1 E2
146;6970;Man With a Plan;35;Saison 1;37;S1 E3
147;6970;Man With a Plan;35;Saison 1;37;S1 E4
148;6970;Man With a Plan;35;Saison 1;37;S1 E5
149;6969;Goliath;36;Saison 1;38;S1 E1
150;6969;Goliath;36;Saison 1;38;S1 E2
151;6969;Goliath;36;Saison 1;38;S1 E3
152;6969;Goliath;36;Saison 1;38;S1 E4
153;6969;Goliath;36;Saison 1;38;S1 E5
154;6969;Goliath;36;Saison 1;38;S1 E6
155;6969;Goliath;36;Saison 1;38;S1 E7
156;6969;Goliath;36;Saison 1;38;S1 E8
157;6968;Class;37;Saison 1;39;S1 E1
158;6968;Class;37;Saison 1;39;S1 E2
159;6968;Class;37;Saison 1;39;S1 E3
160;6968;Class;37;Saison 1;39;S1 E4
161;6968;Class;37;Saison 1;39;S1 E5
162;6968;Class;37;Saison 1;39;S1 E6
163;6967;The Young Pope;38;Saison 1;40;S1 E1
164;6967;The Young Pope;38;Saison 1;40;S1 E2
165;6967;The Young Pope;38;Saison 1;40;S1 E3
166;6967;The Young Pope;38;Saison 1;40;S1 E4
167;6967;The Young Pope;38;Saison 1;40;S1 E5
168;6967;The Young Pope;38;Saison 1;40;S1 E6
169;6967;The Young Pope;38;Saison 1;40;S1 E7
170;6967;The Young Pope;38;Saison 1;40;S1 E8
171;6967;The Young Pope;38;Saison 1;40;S1 E9
172;6967;The Young Pope;38;Saison 1;40;S1 E10
173;6966;Robinson Crusoë (2003);39;Saison 1;41;S1 E1
174;6966;Robinson Crusoë (2003);39;Saison 1;41;S1 E1-2
175;6966;Robinson Crusoë (2003);39;Saison 1;41;S1 E2
176;6965;Zapped!;40;Saison 1;42;S1 E1
177;6965;Zapped!;40;Saison 1;42;S1 E2
178;6965;Zapped!;40;Saison 1;42;S1 E3
179;6964;Dimanche 20h55;41;Saison 1;43;S1 E1
