ROW_ID;SERIE_TITLE;SERIE_ROW_ID;SEASON_NAME;SEASON_ROW_ID;NAME
102;Goliath;24;Saison 1;26;S1 E7
103;Goliath;24;Saison 1;26;S1 E8
104;Class;25;Saison 1;27;S1 E1
105;Class;25;Saison 1;27;S1 E2
106;Class;25;Saison 1;27;S1 E3
107;Class;25;Saison 1;27;S1 E4
108;The Young Pope;26;Saison 1;28;S1 E1
109;The Young Pope;26;Saison 1;28;S1 E2
110;The Young Pope;26;Saison 1;28;S1 E3
111;The Young Pope;26;Saison 1;28;S1 E4
112;The Young Pope;26;Saison 1;28;S1 E5
113;The Young Pope;26;Saison 1;28;S1 E6
114;Robinson Crusoë (2003);27;Saison 1;29;S1 E1
115;Robinson Crusoë (2003);27;Saison 1;29;S1 E1-2
116;Robinson Crusoë (2003);27;Saison 1;29;S1 E2
117;Zapped!;28;Saison 1;30;S1 E1
118;Zapped!;28;Saison 1;30;S1 E2
119;Zapped!;28;Saison 1;30;S1 E3
120;Dimanche 20h55;29;Saison 1;31;S1 E1
121;Dimanche 20h55;29;Saison 1;31;S1 E2
122;Chance (2016);30;Saison 1;32;S1 E1
123;Chance (2016);30;Saison 1;32;S1 E2
124;Chance (2016);30;Saison 1;32;S1 E3
125;Chance (2016);30;Saison 1;32;S1 E4
126;Chance (2016);30;Saison 1;32;S1 E5
127;Crazyhead;31;Saison 1;33;S1 E1
128;Crazyhead;31;Saison 1;33;S1 E2
129;Crazyhead;31;Saison 1;33;S1 E3
130;Crazyhead;31;Saison 1;33;S1 E4
131;Dirty Laundry;32;Saison 1;34;S1 E1
132;Dirty Laundry;32;Saison 1;34;S1 E2
133;Dirty Laundry;32;Saison 1;34;S1 E3
134;Dirty Laundry;32;Saison 1;34;S1 E4
135;Dirty Laundry;32;Saison 1;34;S1 E5
136;Dirty Laundry;32;Saison 1;34;S1 E6
137;Him;33;Saison 1;35;S1 E1
138;Him;33;Saison 1;35;S1 E2
139;Him;33;Saison 1;35;S1 E3
