ROW_ID;TITLE;ALT TITLE;RLS DATE;DURATION (MIN);DIRECTORS;ACTORS;CATEGORIES;ORIGIN;NB_SEASONS;NB_EPISODES;DESCRIPTION;IMAGE;KEYWORDS
1410;Opération Tambacounda;ND;En cours;90 min;;Pascal Soetens;Aventure,Téléréalité,Famille;France;3;6;"Opération Tambacounda est une expérience unique que vont vivre 5 adolescents.
Cette expérience unique a un nom : Séjour de rupture. 
Il s'agit de permettre  à des jeunes en difficulté de rompre avec leur quotidien pour se découvrir d'une manière différente. Cette aventure humaine va permettre de mettre cinq adolescents dans une situation où ils vont devoir se dépasser, accepter les règles et la vie en communauté. Au travers des missions qu'ils  seront amenés  à faire, Ils vont découvrir l'esprit d'équipe, se responsabiliser et surtout réfléchir sur les conséquences de leurs actes.  
Ils sont encadrés par un éducateur, Pascal, et une coordinatrice, Béatrice, que nos jeunes n'ont jamais rencontrés et qu'ils découvriront lors de cette aventure. Cet homme et cette femme ont l'habitude de côtoyer et de travailler avec des adolescents en difficulté. Béatrice, quant à elle, s'investit depuis cinq ans, au travers de son association, pour venir en soutien à la région de Tambacounda.

Saison 01 : Destination Sénégal
- 01 x 01 - 20100122 - Alexandre, Bénédicte, Gauthier, Sabrina et Fabien
- 01 x 02 - 20100129 - Alexandre, Bénédicte, Gauthier, Sabrina et Fabien

Saison 02 : Destination Gabon
- 02 x 01 - 20110211 - Dorel, Laura, Grégory, Christopher et Cassandra
- 02 x 02 - 20110218 - Dorel, Laura, Grégory, Christopher et Cassandra

Saison 03 : Destination Sri Lanka
- 03 x 01 - 20110624 - Najet, Emilie, Alex, Medhi et Morgane 
- 03 x 02 - 20110701 - Najet, Emilie, Alex, Medhi et Morgane";http://static.media.dpstream.net/s/5551/operation_tambacound_preview-1475746217.jpg;Série Opération Tambacounda streaming,Opération Tambacounda dpstream, Série Opération Tambacounda HD, Opération Tambacounda streaming VF
1411;Les Théories de Stephen Hawking (Stephen Hawking's Grand Design);ND;Terminée;ND;;Benedict Cumberbatch, Stephen Hawking;Documentaire;Royaume-Uni;1;3;"La nouvelle série initiée par le célèbre physicien Stephen Hawking se penche sur trois grands mystères scientifiques. Dieu a-t-il crée lunivers ? Quel est le sens de la vie ? Est-ce que la science est compatible avec la religion ? Ces questions occupent lesprit de nombreux scientifiques du monde entier. 
Afin de tenter dy répondre, Stephen Hawking explore de nombreuses théories en examinant les preuves dune intervention divine dans la création de lunivers.

-- Titre original : Stephen Hawking's Grand Design -- 
--  Autre titre francophone : Les Nouvelles Théories de Stephen Hawking -- 

- 01 x 01 - Le sens de la vie (The Meaning of Life) 
- 01 x 02 - La clé du cosmos (The Key to the Cosmos) 
- 01 x 03 - Dieu a-t-il créé l'univers ? (Did God Create the Universe?)";http://static.media.dpstream.net/s/5550/7tdnps9jcdmk1zucvsuq8y72skl-1475746145.jpg;Série Les Théories de Stephen Hawking (Stephen Hawking's Grand Design) streaming,Les Théories de Stephen Hawking (Stephen Hawking's Grand Design) dpstream, Série Les Théories de Stephen Hawking (Stephen Hawking's Grand Design) HD, Les Théories de Stephen Hawking (Stephen Hawking's Grand Design) streaming VF
1412;Siberia;ND;Terminée;ND;;;En cours de classement;;ND;ND;Sur le lointain territoire de Toungouska, en Sibérie, 16 candidats de télé-réalité sont expédiés dans cette zone anéantie en 1908 par une énorme explosion, suite à limpact dune mystérieuse météorite avec la Terre. Quand lun des participants est grièvement blessé, et quaucune aide narrive, linquiétude monte dun cran. Dautant que certains événements ne semblent pas liés au show. Face au danger, les compétiteurs doivent se serrer les coudes pour survivre<br><br>Créée en 2013.<br><br>Saison : 1 - Épisodes : 13 - Statut : en production.<br>Format : 52 min - Genre: Drame - Nationalité : Américaine.;http://static.media.dpstream.net/s/5549/media-196758789719820756-siberia_2048x1024_r2_2048x1024_23318684-1475746071;Série Siberia streaming,Siberia dpstream, Série Siberia HD, Siberia streaming VF
1413;Bikie Wars - Brothers in Arms;ND;Terminée;ND;;;En cours de classement;;ND;ND;En 1984 en Australie, deux gangs de motards rivaux participent à ce que l'on appelle aujourd'hui le Massacre de Milperra - au cours duquel, dans un bref affrontement, sept personnes trouveront la mort et 28 autres seront blessées. Mais avant d'en arriver là, il a fallu aux Bandidos et aux Comancheros de s'imposer peu à peu sur tout le territoire tout en attisant les tensions entre les hommes un jour frères mais devenus ennemis après une sécession.<br><br>Série Créée en 2012<br><br>Saison : 1 - Épisodes : 6 - Statut : série achevée en 2012<br>Origine : Australie - Genre : Drame - Format : 45 mn;http://i1148.photobucket.com/albums/o566/myteleisrich4/Series%20Oceanie/bik;Série Bikie Wars - Brothers in Arms streaming,Bikie Wars - Brothers in Arms dpstream, Série Bikie Wars - Brothers in Arms HD, Bikie Wars - Brothers in Arms streaming VF
1414;Charlemagne (Karl der Grosse);ND;Terminée;50 min;Gabriele Wengler;Thomas Morris, Alexander Wüst;Documentaire,Histoire,En cours de classement;Allemagne;1;3;"S'appuyant sur les écrits d'Eginhard ainsi que sur les découvertes archéologiques et les explications de spécialistes de la période carolingienne, le documentaire retrace par des reconstitutions historiques précises les pérégrinations de Charlemagne, le plus célèbre des seigneurs médiévaux. Né en 748, le fils de Berthe et de Pépin le Bref entre très tôt en rivalité avec son cadet Carloman. A la mort de leur père, les deux frères héritent chacun d'une moitié du royaume, mais leur alliance se fissure rapidement. Le décès de Carloman, à l'âge de 20 ans, permet à Charlemagne de tourner ses ambitions vers l'Italie, où il recherche l'appui du pape contre le roi lombard Didier.

-- Titre original : Karl der Große (Karl der Grosse) -- 

01 - La bataille pour le trône (Der Kampf um den Thron)
02 - La guerre contre les Saxons (Krieg gegen die Sachsen)
03 - L'empereur (Kaiser Europas)";http://static.media.dpstream.net/s/5547/20530034-1475746017.jpg;Série Charlemagne (Karl der Grosse) streaming,Charlemagne (Karl der Grosse) dpstream, Série Charlemagne (Karl der Grosse) HD, Charlemagne (Karl der Grosse) streaming VF
1415;Iljimae;ND;Terminée;ND;;;En cours de classement;;ND;ND;Lhistoire se déroule durant lère de Jeosun.<br><br>Lorsque Yong avait 9 ans, il assiste à la mort de son père, magistrat, qui était considéré comme un traitre. Il jure de venger cette mort, mais peu de temps après, il perd la mémoire et se fait adopter par une famille du peuple.<br><br>Nous le retrouvons 13 ans plus tard. Il finit par retrouver peu à peu la mémoire. Cest alors que son plan de vengeance se met en place. Il va devenir Iljimae. Il se rend chez les riches en cherchant des informations sur les meurtriers et en profite pour voler leur richesse et les redistribuer au peuple qui est opprimé.<br><br>Cette histoire ne serait pas complète sans des relations complexes : des romances compliquées, secrets des uns et des autres... <br><br>Créée en 2008.<br><br>Saisons : 1 - Épisodes : 20 - Statut : Arrêtée.<br>Genre : Romance, Action, Historique - Pays : Corée du Sud;http://static.media.dpstream.net/s/5546/iljimae_poster-1475745874.jpg;Série Iljimae streaming,Iljimae dpstream, Série Iljimae HD, Iljimae streaming VF
1416;Le Tourbillon de lamour (Sturm der Liebe);ND;En cours;47 min;Bea Schmidt;Ines Lutz, Moritz Tittel, Daniel Fünffrock;Comédie,Drame;Allemagne;8;1746;"Tandis que Robert et Eva partent démarrer une nouvelle vie à Vérone, Maurice fait le serment à Theresa de la soutenir dans son projet de relance de la brasserie de son père. Pendant ce temps, à Buenos Aires, Konstantin apprend avec stupeur qu'il a été adopté et que sa mère biologique vit en Allemagne avec son frère jumeau, Maurice. Il décide de partir sur le champ pour la rencontrer. Monsieur Grosswihler arrive à l'hôtel pour discuter d'un projet immobilier avec Doris. Il représente un groupe d'investisseurs qui ne donneront leur aval que si la brasserie de Theresa est rasée.

-- Titre original : Sturm der Liebe -- 

- Saison 01  313 épisodes (Épisode 00010313)
- Saison 02  207 épisodes (Épisode 03140520)
- Saison 03  183 épisodes (Épisode 05210703)
- Saison 04  230 épisodes (Épisode 07040933)
- Saison 05  184 épisodes (Épisode 09341117)
- Saison 06  274 épisodes (Épisode 11181391)
- Saison 07  209 épisodes (Épisode 13921600)
- Saison 08  145 épisodes (Épisode 1601En cours)

INFO : En France, la série a été diffusée (avril 2013/mai 2013) à partir de la saison 7, avec l'épisode 1392 premier épisode de la saison 7, diffusé le 11 octobre 2011 en Allemagne,  jusqu'à l'épisode 1414 le 23è épisode de la saison. La diffusion est ensuite arrêtée par manque d'audience.";http://static.media.dpstream.net/s/5545/sturm-der-liebe-fallback-image-100-_v-varl_1da3d4-1475662643.jpg;Série Le Tourbillon de lamour (Sturm der Liebe) streaming,Le Tourbillon de lamour (Sturm der Liebe) dpstream, Série Le Tourbillon de lamour (Sturm der Liebe) HD, Le Tourbillon de lamour (Sturm der Liebe) streaming VF
1417;Crossing Lines;ND;En cours;52 min;Edward Allen Bernero;Elizabeth Mitchell, Goran Visnjic, Tom Wlaschiha, William Fichtner, Marc Lavoine, Donald Sutherland;Action ,Drame,Policier,Judiciaire;France, Allemagne, États-Unis;3;22;Une unité délite composée des meilleurs spécialistes européens est formée pour traquer les criminels les plus dangereux. Grâce à une disposition particulière du tribunal pénal international, ils ont le pouvoir dappréhender les criminels partout en Europe et de les présenter à la justice.;http://static.media.dpstream.net/s/5544/maxresdefault-(47)-1475662587.jpg;Série Crossing Lines streaming,Crossing Lines dpstream, Série Crossing Lines HD, Crossing Lines streaming VF
1418;Under The Dome;ND;En cours;42 min;Brian K. Vaughan;Mike Vogel, Rachelle LeFevre, Dean Norris;Drame,Fantastique,Science-fiction;États-Unis;3;39;Les habitants dune petite communauté se réveillent un matin, coupés du monde et piégés dans la ville à cause dun immense dôme transparent. Certains tenteront, de manière dissimulée, de tirer profit de cette situation inquiétante et inexpliquée, afin de prendre le pouvoir. Mais une résistance va sorganiser autour d'un vétéran de la guerre en Irak, pour empêcher ces personnes malveillantes de parvenir à leur fin.;http://static.media.dpstream.net/s/5543/under-the-dome-521b3dc7302aa-1475662505.jpg;Série Under The Dome streaming,Under The Dome dpstream, Série Under The Dome HD, Under The Dome streaming VF
1419;Cinq Jours (Five Days);ND;Terminée;ND;;;En cours de classement;;ND;ND;Les 5 jours-clef d'un mystérieux fait-divers : la disparition, au bord d'une route, d'une jeune femme et de ses deux enfants... <br><br>Titre original : Five Days<br><br>Série créée en 2007<br><br>Saison : 1 - Épisodes : 5 - Statut : production achevée en 2007<br>Origine : États-Unis - Grande-Bretagne - Genre : Drame - Format : 52 mn<br>Avec : Hugh Bonneville, Charlie Creed-Miles, Nikki Amuka-Bird;http://static.media.dpstream.net/s/5542/b7c26403dd-1475662434.jpg;Série Cinq Jours (Five Days) streaming,Cinq Jours (Five Days) dpstream, Série Cinq Jours (Five Days) HD, Cinq Jours (Five Days) streaming VF
